FspId,FspX,FspY,SegId,FilledElev,DsDist,StrOrd
310,-60368.2057939356,1799077.9445651,3,335.765777587891,27692.55192933443,3
311,-60358.2057939356,1799067.9445651,3,335.765777587891,27678.4097937107,3
312,-60348.2057939356,1799067.9445651,3,335.765777587891,27668.4097937107,3
313,-60338.2057939356,1799057.9445651,3,335.765777587891,27654.267658086967,3
314,-60328.2057939356,1799047.9445651,3,335.765777587891,27640.125522463237,3
315,-60318.2057939356,1799037.9445651,3,335.765777587891,27625.983386839507,3
316,-60308.2057939356,1799027.9445651,3,335.765777587891,27611.841251215774,3
317,-60298.2057939356,1799017.9445651,3,335.765777587891,27597.699115592044,3
318,-60288.2057939356,1799017.9445651,3,335.765777587891,27587.699115592044,3
319,-60278.2057939356,1799007.9445651,3,335.765777587891,27573.556979968314,3
320,-60268.2057939356,1798997.9445651,3,335.765777587891,27559.41484434458,3
321,-60258.2057939356,1798997.9445651,3,335.765777587891,27549.41484434458,3
322,-60248.2057939356,1798987.9445651,3,335.765777587891,27535.27270872085,3
323,-60238.2057939356,1798977.9445651,3,335.765777587891,27521.130573097118,3
324,-60228.2057939356,1798967.9445651,3,335.765777587891,27506.98843747339,3
325,-60218.2057939356,1798957.9445651,3,335.765777587891,27492.84630184966,3
326,-60208.2057939356,1798947.9445651,3,335.765777587891,27478.704166225925,3
327,-60198.2057939356,1798937.9445651,3,335.765777587891,27464.562030602196,3
328,-60188.2057939356,1798937.9445651,3,335.765777587891,27454.562030602196,3
329,-60178.2057939356,1798937.9445651,3,335.765777587891,27444.562030602196,3
330,-60168.2057939356,1798947.9445651,3,335.765777587891,27430.419894978466,3
331,-60158.2057939356,1798957.9445651,3,335.765777587891,27416.277759354733,3
332,-60158.2057939356,1798967.9445651,3,335.765777587891,27406.277759354733,3
333,-60158.2057939356,1798977.9445651,3,335.765777587891,27396.277759354733,3
334,-60158.2057939356,1798987.9445651,3,335.765777587891,27386.277759354733,3
335,-60158.2057939356,1798997.9445651,3,335.765777587891,27376.277759354733,3
336,-60148.2057939356,1799007.9445651,3,335.765777587891,27362.135623731003,3
337,-60148.2057939356,1799017.9445651,3,335.765777587891,27352.135623731003,3
338,-60138.2057939356,1799027.9445651,3,335.765777587891,27337.993488107273,3
339,-60128.2057939356,1799037.9445651,3,335.765777587891,27323.85135248354,3
340,-60128.2057939356,1799047.9445651,3,335.765777587891,27313.85135248354,3
341,-60118.2057939356,1799057.9445651,3,335.765777587891,27299.70921685981,3
342,-60118.2057939356,1799067.9445651,3,335.765777587891,27289.70921685981,3
343,-60108.2057939356,1799077.9445651,3,335.765777587891,27275.56708123608,3
344,-60098.2057939356,1799087.9445651,3,335.765777587891,27261.424945612347,3
