FspId,FspX,FspY,SegId,FilledElev
1497,-53768.2057939356,1795437.9445651,10,315.990325927734
1498,-53758.2057939356,1795437.9445651,10,315.990325927734
1499,-53748.2057939356,1795437.9445651,10,315.990325927734
1500,-53738.2057939356,1795437.9445651,10,315.990325927734
1501,-53728.2057939356,1795437.9445651,10,315.990325927734
1502,-53718.2057939356,1795427.9445651,10,315.990325927734
1503,-53708.2057939356,1795427.9445651,10,315.990325927734
1504,-53698.2057939356,1795417.9445651,10,315.990325927734
1505,-53688.2057939356,1795417.9445651,10,315.880554199219
1506,-53678.2057939356,1795417.9445651,10,315.880554199219
1507,-53668.2057939356,1795407.9445651,10,315.880554199219
1508,-53658.2057939356,1795407.9445651,10,315.880554199219
1509,-53648.2057939356,1795407.9445651,10,315.880554199219
1510,-53638.2057939356,1795407.9445651,10,315.880554199219
1511,-53628.2057939356,1795397.9445651,10,315.880554199219
1512,-53618.2057939356,1795397.9445651,10,315.880554199219
1513,-53608.2057939356,1795387.9445651,10,315.792999267578
1514,-53598.2057939356,1795377.9445651,10,315.735076904297
1515,-53588.2057939356,1795367.9445651,10,315.735076904297
1516,-53578.2057939356,1795357.9445651,10,315.735076904297
1517,-53568.2057939356,1795347.9445651,10,315.735076904297
1518,-53558.2057939356,1795337.9445651,10,315.735076904297
1519,-53548.2057939356,1795327.9445651,10,315.735076904297
1520,-53538.2057939356,1795327.9445651,10,315.735076904297
1521,-53528.2057939356,1795327.9445651,10,315.735076904297
1522,-53518.2057939356,1795317.9445651,10,315.735076904297
1523,-53508.2057939356,1795317.9445651,10,315.735076904297
1524,-53498.2057939356,1795307.9445651,10,315.735076904297
1525,-53488.2057939356,1795307.9445651,10,315.735076904297
1526,-53478.2057939356,1795307.9445651,10,315.735076904297
1527,-53468.2057939356,1795307.9445651,10,315.735076904297
1528,-53458.2057939356,1795307.9445651,10,315.735076904297
1529,-53448.2057939356,1795317.9445651,10,315.735076904297
1530,-53448.2057939356,1795327.9445651,10,315.735076904297
1531,-53448.2057939356,1795337.9445651,10,315.735076904297
1532,-53448.2057939356,1795347.9445651,10,315.735076904297
1533,-53448.2057939356,1795357.9445651,10,315.497467041016
1534,-53458.2057939356,1795367.9445651,10,315.270568847656
1535,-53458.2057939356,1795377.9445651,10,315.270568847656
1536,-53468.2057939356,1795387.9445651,10,315.270568847656
1537,-53478.2057939356,1795397.9445651,10,315.270568847656
1538,-53478.2057939356,1795407.9445651,10,315.270568847656
1539,-53468.2057939356,1795417.9445651,11,315.21826171875
1540,-53468.2057939356,1795427.9445651,11,315.163848876953
1541,-53468.2057939356,1795437.9445651,11,315.163848876953
1542,-53468.2057939356,1795447.9445651,11,315.163848876953
1543,-53468.2057939356,1795457.9445651,11,315.163848876953
1544,-53468.2057939356,1795467.9445651,11,315.163848876953
1545,-53468.2057939356,1795477.9445651,11,315.163848876953
1546,-53468.2057939356,1795487.9445651,11,315.163848876953
1547,-53468.2057939356,1795497.9445651,11,315.163848876953
1548,-53468.2057939356,1795507.9445651,11,315.163848876953
1549,-53468.2057939356,1795517.9445651,11,315.163848876953
1550,-53458.2057939356,1795527.9445651,11,315.163848876953
1551,-53458.2057939356,1795537.9445651,11,315.047424316406
1552,-53458.2057939356,1795547.9445651,11,315.047424316406
1553,-53448.2057939356,1795557.9445651,11,315.047424316406
1554,-53438.2057939356,1795557.9445651,11,315.047424316406
1555,-53428.2057939356,1795557.9445651,11,315.047424316406
1556,-53418.2057939356,1795557.9445651,11,315.047424316406
1557,-53408.2057939356,1795557.9445651,11,315.047424316406
1558,-53398.2057939356,1795557.9445651,11,315.047424316406
1559,-53388.2057939356,1795557.9445651,11,315.047424316406
1560,-53378.2057939356,1795557.9445651,11,315.047424316406
1561,-53368.2057939356,1795557.9445651,11,315.047424316406
1562,-53358.2057939356,1795547.9445651,11,315.047424316406
1563,-53348.2057939356,1795537.9445651,11,315.047424316406
1564,-53338.2057939356,1795527.9445651,11,315.047424316406
1565,-53328.2057939356,1795517.9445651,11,315.047424316406
1566,-53318.2057939356,1795517.9445651,11,315.047424316406
1567,-53308.2057939356,1795507.9445651,11,315.047424316406
1568,-53298.2057939356,1795517.9445651,11,315.047424316406
1569,-53288.2057939356,1795527.9445651,11,315.047424316406
1570,-53288.2057939356,1795537.9445651,11,315.047424316406
1571,-53288.2057939356,1795547.9445651,11,315.047424316406
1572,-53288.2057939356,1795557.9445651,11,315.047424316406
1573,-53298.2057939356,1795567.9445651,11,315.047424316406
1574,-53298.2057939356,1795577.9445651,11,315.047424316406
1575,-53298.2057939356,1795587.9445651,11,315.047424316406
1576,-53298.2057939356,1795597.9445651,11,315.047424316406
1577,-53308.2057939356,1795607.9445651,11,315.047424316406
1578,-53308.2057939356,1795617.9445651,11,315.047424316406
1579,-53318.2057939356,1795627.9445651,11,315.047424316406
1580,-53318.2057939356,1795637.9445651,11,315.047424316406
1581,-53318.2057939356,1795647.9445651,11,315.047424316406
1582,-53328.2057939356,1795657.9445651,11,315.047424316406
1583,-53338.2057939356,1795667.9445651,11,315.047424316406
1584,-53348.2057939356,1795677.9445651,11,315.047424316406
1585,-53358.2057939356,1795677.9445651,11,315.047424316406
1586,-53368.2057939356,1795677.9445651,11,315.047424316406
1587,-53378.2057939356,1795687.9445651,11,315.047424316406
1588,-53388.2057939356,1795677.9445651,11,315.047424316406
1589,-53398.2057939356,1795667.9445651,11,315.047424316406
1590,-53408.2057939356,1795657.9445651,11,315.047424316406
1591,-53408.2057939356,1795647.9445651,11,315.047424316406
1592,-53408.2057939356,1795637.9445651,11,315.047424316406
1593,-53408.2057939356,1795627.9445651,11,315.047424316406
1594,-53408.2057939356,1795617.9445651,11,315.047424316406
1595,-53408.2057939356,1795607.9445651,11,315.047424316406
1596,-53418.2057939356,1795597.9445651,11,315.047424316406
1597,-53428.2057939356,1795587.9445651,11,315.047424316406
1598,-53438.2057939356,1795587.9445651,11,315.047424316406
1599,-53448.2057939356,1795587.9445651,11,315.047424316406
1600,-53458.2057939356,1795587.9445651,11,315.047424316406
1601,-53468.2057939356,1795597.9445651,11,315.047424316406
1602,-53478.2057939356,1795607.9445651,11,315.047424316406
1603,-53478.2057939356,1795617.9445651,11,315.047424316406
1604,-53488.2057939356,1795627.9445651,11,314.949645996094
1605,-53488.2057939356,1795637.9445651,11,314.909790039062
1606,-53488.2057939356,1795647.9445651,11,314.909790039062
1607,-53478.2057939356,1795657.9445651,11,314.909790039062
1608,-53478.2057939356,1795667.9445651,11,314.909790039062
1609,-53478.2057939356,1795677.9445651,11,314.909790039062
1610,-53478.2057939356,1795687.9445651,11,314.909790039062
1611,-53478.2057939356,1795697.9445651,11,314.909790039062
1612,-53478.2057939356,1795707.9445651,12,314.909790039062
1613,-53478.2057939356,1795717.9445651,12,314.909790039062
1614,-53478.2057939356,1795727.9445651,12,314.909790039062
1615,-53478.2057939356,1795737.9445651,12,314.909790039062
1616,-53478.2057939356,1795747.9445651,12,314.909790039062
1617,-53478.2057939356,1795757.9445651,12,314.909790039062
1618,-53478.2057939356,1795767.9445651,12,314.909790039062
1619,-53468.2057939356,1795777.9445651,12,314.909790039062
1620,-53458.2057939356,1795787.9445651,12,314.909790039062
1621,-53448.2057939356,1795787.9445651,12,314.909790039062
1622,-53438.2057939356,1795787.9445651,12,314.909790039062
1623,-53428.2057939356,1795797.9445651,12,314.909790039062
1624,-53418.2057939356,1795797.9445651,12,314.539764404297
1625,-53408.2057939356,1795797.9445651,12,314.531097412109
1626,-53398.2057939356,1795797.9445651,12,314.531097412109
1627,-53388.2057939356,1795807.9445651,12,314.531097412109
1628,-53378.2057939356,1795817.9445651,12,314.531097412109
1629,-53368.2057939356,1795827.9445651,12,314.531097412109
1630,-53368.2057939356,1795837.9445651,12,314.531097412109
1631,-53368.2057939356,1795847.9445651,12,314.531097412109
1632,-53378.2057939356,1795857.9445651,12,314.531097412109
1633,-53388.2057939356,1795867.9445651,12,314.531097412109
1634,-53398.2057939356,1795877.9445651,12,314.531097412109
1635,-53408.2057939356,1795877.9445651,12,314.531097412109
1636,-53418.2057939356,1795887.9445651,12,314.531097412109
1637,-53428.2057939356,1795887.9445651,12,314.531097412109
1638,-53438.2057939356,1795887.9445651,12,314.531097412109
1639,-53448.2057939356,1795887.9445651,12,314.531097412109
1640,-53458.2057939356,1795887.9445651,12,314.531097412109
1641,-53468.2057939356,1795887.9445651,12,314.531097412109
1642,-53478.2057939356,1795887.9445651,12,314.531097412109
1643,-53488.2057939356,1795887.9445651,12,314.531097412109
1644,-53498.2057939356,1795897.9445651,12,314.531097412109
